institution,region,countryabbrv
Worcester Polytechnic Institute,northamerica,us
University Of Chicago,northamerica,us
University Of Wisconsin - Madison,northamerica,us
University Of Rochester,northamerica,us
Boston College,northamerica,us
Michigan Technological University,northamerica,us
University Of Southern Mississippi,northamerica,us
University Of Houston,northamerica,us
University Of Florida,northamerica,us
Wayne State University,northamerica,us
George Washington University,northamerica,us
Univ. Of California - Davis,northamerica,us
Lehigh University,northamerica,us
North Dakota State University,northamerica,us
Old Dominion University,northamerica,us
University Of Texas At Arlington,northamerica,us
Texas Tech University,northamerica,us
Rutgers University,northamerica,us
Univ. Of California - Riverside,northamerica,us
Binghamton University,northamerica,us
Arizona State University,northamerica,us
University Of Nebraska,northamerica,us
University At Buffalo,northamerica,us
Syracuse University,northamerica,us
Florida Atlantic University,northamerica,us
Tti Chicago,northamerica,us
University Of Cincinnati,northamerica,us
Clemson University,northamerica,us
Univ. Of California - Berkeley,northamerica,us
University Of Michigan,northamerica,us
University Of Missouri - Kansas City,northamerica,us
Boston University,northamerica,us
University Of Arizona,northamerica,us
Towson University,northamerica,us
Illinois Institute Of Technology,northamerica,us
University Of Texas - El Paso,northamerica,us
Portland State University,northamerica,us
Texas State University,northamerica,us
University Of Tulsa,northamerica,us
University Of Minnesota,northamerica,us
Pennsylvania State University,northamerica,us
Saint Louis University,northamerica,us
Yale University,northamerica,us
Louisiana State University,northamerica,us
Tulane University,northamerica,us
University Of Illinois At Chicago,northamerica,us
Mississippi State University,northamerica,us
Oakland University,northamerica,us
Virginia Tech,northamerica,us
Auburn University,northamerica,us
University Of Georgia,northamerica,us
Washington University In St. Louis,northamerica,us
Emory University,northamerica,us
Kent State University,northamerica,us
University Of Oklahoma,northamerica,us
Northwestern University,northamerica,us
College Of William And Mary,northamerica,us
University Of Virginia,northamerica,us
Missouri University Of Technology,northamerica,us
Tufts University,northamerica,us
Southern Methodist University,northamerica,us
University Of Massachusetts Boston,northamerica,us
Augusta University,northamerica,us
University Of Maryland - College Park,northamerica,us
Stevens Institute Of Technology,northamerica,us
Ohio State University,northamerica,us
University Of Connecticut,northamerica,us
Florida State University,northamerica,us
University Of Memphis,northamerica,us
Johns Hopkins University,northamerica,us
North Carolina State University,northamerica,us
University Of Notre Dame,northamerica,us
Massachusetts Institute Of Technology,northamerica,us
University Of Oregon,northamerica,us
Iupui,northamerica,us
Ohio University,northamerica,us
Univ. Of California - Los Angeles,northamerica,us
Columbia University,northamerica,us
Brigham Young University,northamerica,us
University Of Pittsburgh,northamerica,us
University Of South Carolina,northamerica,us
University Of Texas At Austin,northamerica,us
University Of Kansas,northamerica,us
New York University,northamerica,us
University At Albany - Suny,northamerica,us
Univ. Of Maryland - Baltimore County,northamerica,us
Purdue University,northamerica,us
Colorado State University,northamerica,us
Virginia Commonwealth University,northamerica,us
University Of Kentucky,northamerica,us
Unc - Charlotte,northamerica,us
California Institute Of Technology,northamerica,us
Duke University,northamerica,us
University Of Idaho,northamerica,us
Princeton University,northamerica,us
University Of South Florida,northamerica,us
Brandeis University,northamerica,us
Oregon State University,northamerica,us
University Of Rhode Island,northamerica,us
Case Western Reserve University,northamerica,us
Wichita State University,northamerica,us
University Of Miami,northamerica,us
University Of Delaware,northamerica,us
University Of Massachusetts Dartmouth,northamerica,us
University Of Washington,northamerica,us
Boise State University,northamerica,us
Missouri S&T,northamerica,us
Depaul University,northamerica,us
Cornell University,northamerica,us
New York Tech,northamerica,us
Siu Carbondale,northamerica,us
Michigan State University,northamerica,us
University Of Southern California,northamerica,us
Utah State University,northamerica,us
Njit,northamerica,us
University Of Nevada,northamerica,us
Northeastern University,northamerica,us
University Of Colorado Boulder,northamerica,us
Cleveland State University,northamerica,us
Drexel University,northamerica,us
Cuny,northamerica,us
University Of Massachusetts Lowell,northamerica,us
Unc - Greensboro,northamerica,us
University Of Nebraska - Omaha,northamerica,us
Iowa State University,northamerica,us
University Of New Orleans,northamerica,us
University Of Wisconsin - Milwaukee,northamerica,us
University Of Louisiana - Lafayette,northamerica,us
Montana State University,northamerica,us
University Of Massachusetts Amherst,northamerica,us
Univ. Of California - Santa Barbara,northamerica,us
Univ. Of California - San Diego,northamerica,us
West Virginia University,northamerica,us
Colorado School Of Mines,northamerica,us
Kansas State University,northamerica,us
Univ. Of California - Irvine,northamerica,us
University Of Michigan-Dearborn,northamerica,us
Rochester Institute Of Technology,northamerica,us
Rice University,northamerica,us
University Of New Mexico,northamerica,us
Washington State University,northamerica,us
Indiana University,northamerica,us
University Of New Hampshire,northamerica,us
Univ. Of Illinois At Urbana-Champaign,northamerica,us
Brown University,northamerica,us
University Of Tennessee,northamerica,us
University Of Texas At San Antonio,northamerica,us
University Of Texas At Dallas,northamerica,us
Nova Southeastern University,northamerica,us
The University Of Alabama,northamerica,us
Univ. Of California - Merced,northamerica,us
Dartmouth College,northamerica,us
Univ. Of California - Santa Cruz,northamerica,us
University Of Pennsylvania,northamerica,us
Temple University,northamerica,us
Georgetown University,northamerica,us
University Of Arkansas,northamerica,us
Texas A&M University,northamerica,us
Vanderbilt University,northamerica,us
Florida International University,northamerica,us
Uccs,northamerica,us
University Of Vermont,northamerica,us
University Of Utah,northamerica,us
George Mason University,northamerica,us
Harvard University,northamerica,us
University Of North Texas,northamerica,us
New Mexico State University,northamerica,us
University Of Missouri,northamerica,us
University Of Central Florida,northamerica,us
University Of Iowa,northamerica,us
University Of North Carolina,northamerica,us
Rensselaer Polytechnic Institute,northamerica,us
Stanford University,northamerica,us
Stony Brook University,northamerica,us
Georgia Institute Of Technology,northamerica,us
University Of Hawaii At Manoa,northamerica,us
Carnegie Mellon University,northamerica,us
Georgia State University,northamerica,us
